,duration,daysToPublish,videoCount,sub,totalView
0,5,53,45,7,72
1,18,59,324,19,562
2,102,108,441,38,236
3,398,117,80,636,54
4,294,330,41,235,23
5,83,265,61,57,2
6,37,60,null,null,43
7,15,null,null,null,null
8,3,null,null,null,null
9,8,null,null,null,null
10,0,null,null,null,null
