,ChannelID,ViewCount,likeCount,dislikeCount,uploadedDate,category,videoLanguage,duration,commentCount,subCount,TotalViewCount,VideoCount,channelDate,channelLocation,likePer,dislikePer,LikeDisRatio,days to publish,title
27,Bznxx12Ptl0,1145265888,7909194,301302,2014-10-13,Music,Not specified,0 days 00:02:29.000000000,245555,2730000,1465944705,19,2014-08-19,Not specified,69.06,2.63,26.26,55,AronChupa - I'm an Albatraoz | OFFICIAL VIDEO
28,bdOXnTbyk0g,1144850720,3091262,188737,2013-08-20,Music,Not specified,0 days 00:03:31.000000000,128149,5870000,3921203483,138,2010-02-19,Not specified,27,1.65,16.36,1278,Prince Royce - Darte un Beso
29,CvKgP6Ei-U8,1145785754,1811651,1263380,2015-09-22,Education,Not specified,0 days 00:10:07.000000000,818,36400000,23193619130,360,2013-02-09,IN,15.81,11.03,1.43,955,Surprise Eggs Nursery Rhymes | Old MacDonald Had A Farm | Learn Colours & Farm Animals | ChuChu TV
30,wxMrtK-kYnE,1143602241,2743320,1612025,2012-03-01,Entertainment,Not specified,0 days 00:01:31.000000000,13408,16200000,13454255218,3008,2006-01-16,US,23.99,14.1,1.7,2236,"Sesame Street: Healthy Teeth, Healthy Me: Brushy Brush PSA"
31,nntGTK2Fhb0,1136036933,5156175,332262,2015-06-29,People & Blogs,Not specified,0 days 00:04:12.000000000,294105,3140000,1574525701,36,2014-11-21,Not specified,45.39,2.92,15.54,220,"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)"
32,KTOwPz-zMWY,1131952706,2396564,1524514,2018-10-23,Education,en,0 days 00:04:07.000000000,12200,85100000,65892118352,536,2006-09-01,US,21.17,13.47,1.57,4435,Yes Yes Playground Song | CoComelon Nursery Rhymes & Kids Songs
33,nfs8NYg7yQM,1124953084,7426968,206442,2017-04-24,Music,Not specified,0 days 00:03:52.000000000,204327,16800000,6469600065,90,2009-09-09,US,66.02,1.84,35.88,2784,Charlie Puth - Attention [Official Video]
34,0yW7w8F2TVA,1120738069,5434896,153786,2016-09-09,Music,Not specified,0 days 00:03:31.000000000,143541,2380000,2026444999,73,2012-12-06,US,48.49,1.37,35.39,1373,James Arthur - Say You Won't Let Go
35,iQEVguV71sI,1120418429,3412870,411167,2018-06-01,Music,Not specified,0 days 00:03:41.000000000,218307,2290000,3845549224,146,2009-12-02,Not specified,30.46,3.67,8.3,3103,"Thalía, Natti Natasha - No Me Acuerdo (Video Oficial)"
36,7zp1TbLFPp8,1117505476,3210164,178040,2010-08-11,Music,Not specified,0 days 00:03:56.000000000,190405,3910000,4245013738,48,2009-05-12,Not specified,28.73,1.59,18.07,456,Don Omar - Danza Kuduro ft. Lucenzo
